pgpid,url,iiif_urls,fragment_urls,shelfmark,multifragment,side,region,type,tags,description,scholarship_records,shelfmarks_historic,languages_primary,languages_secondary,language_note,doc_date_original,doc_date_calendar,doc_date_standard,inferred_date_display,inferred_date_standard,inferred_date_rationale,inferred_date_notes,initial_entry,last_modified,input_by,library,collection,has_transcription,has_translation,notes,needs_review,status,url_admin
444,https://geniza.princeton.edu/documents/444/,https://cudl.lib.cam.ac.uk/iiif/MS-TS-00013-J-00035-00003,https://cudl.lib.cam.ac.uk/view/MS-TS-00013-J-00035-00003,T-S 13J35.3 + AIU VII.A.23,,,,Letter,"communal, excommunication","Fragment of a draft letter in the name of the community of Fustat regarding the imposition of an excommunication, ca. 1035.","Moshe Gil, Palestine During the First Muslim Period (634–1099)‎ (in Hebrew) (1983), vol. 2. ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","TS Box 13 J 35, fol. 3; TS 13 J 35, fol. 3; TS Box 13 J 35, f. 3; TS 13 J 35, f. 3 ; AIU VII A 23",Judaeo-Arabic,,,,,,,,,,1988-04-15 04:00:00+00:00,2022-05-26 12:55:02.343007+00:00,Catherine Beaumont ; Marina Rustow ; Micah Newberger ; Sarah Nisenson,CUL ; AIU,"CUL, T-S ; AIU",Y,N,"Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing
Notes from PGPID 8077:
Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing",,Public,https://geniza.princeton.edu/admin/corpus/document/444/change/
447,https://geniza.princeton.edu/documents/447/,,,AIU VII.D.81,,,,Legal document,"Mamluk, Marriage, Levirate marriage","Legal document: an agreement concerning a levirate marriage, second half of the 15th century.","Eliyahu Ashtor, History of the Jews in Egypt and Syria under the Rule of the Mamlūks‎ (in Hebrew) (1970), vol. 3.",AIU VII D 81,Judaeo-Arabic,,,,,,,,,,1990-01-23 05:00:00+00:00,2022-06-07 19:24:12.560013+00:00,Dan Sachs ; Zafrira Friedmann,AIU,AIU,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/447/change/
448,https://geniza.princeton.edu/documents/448/,https://cudl.lib.cam.ac.uk/iiif/MS-MOSSERI-IV-00014-00002,https://cudl.lib.cam.ac.uk/view/MS-MOSSERI-IV-00014-00002,"Moss. IV,14.2 + AIU VII.E.119",,,,Letter,"medicine, Jewish community, physician","Letter from Mufaḍḍal, probably in Fustat, to Abū l-Majd al-Melammed, in Qūṣ. In Judaeo-Arabic. Dating: Uncertain, but perhaps ca. 1230s CE, since T-S 13J26.6 (1234 CE) is a letter from Abū l-Majd in Qūṣ to Abū l-Mufaḍḍal in Fustat requesting guidance from the capital on communal affairs; if this decade is correct, plausible options are 1230 and 1237 CE (since the letter was written on Thursday, 1 Tammuz). Concerning a distinguished physician, evidently also the Head of the Jews (""Sayyidnā al-Rayyis"") whose burdensome medical responsibilities affected his ability to respond to the needs of the Jewish community. This physician is likely Avraham Maimonides based on the above identifications as well as corroborating evidence (cf. T-S 10J14.5 and Cohen's discussion of this possibility, pp. 134–35 in his article). The sender reports that two different queries for legal opinions (fatwās) had been sent to the physician in the Egyptian capital. He had misplaced the first query and had recovered it only after the second arrived. The sender informs the addressee, who had submitted the two questions, that the physician had composed an answer (jawāb) to both and it was enclosed it the present letter. The verso contains greetings from Abū l-Faraj, Abū l-Riḍā, Yosef, Hiba, and their mother, as well as the address. Upside down, there is also a list of medicinal herbs in Arabic script, unrelated to the letter. The scribe of this letter has distinctive handwriting with very tall, hooked lameds. (Published by Mark Cohen, “The Burdensome Life of a Jewish Physician and Communal Leader,” Jerusalem Studies in Arabic and Islam 16 (1993), 125–36.) Join: Alan Elbaum. EMS. ASE","Mark Cohen, unpublished editions‎ (in Judaeo-Arabic) (1983). Transcribed at AIU, July 1983. Transcription of the join added by Alan Elbaum (2022).",AIU VII E 119,Judaeo-Arabic,,,,,,,,,,1990-01-23 05:00:00+00:00,2022-06-02 17:42:56.325623+00:00,Alan Elbaum ; Amir Ashur ; Emily Silkaitis ; Marina Rustow ; Mark Cohen ; Micah Newberger,Mosseri ; AIU,"Mosseri, Moss. ; AIU",Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/448/change/
449,https://geniza.princeton.edu/documents/449/,,,AIU VII.E.145,,,,Legal document,"kosher, Shehita",Legal document for authorization for butchering fowl. Dated 1259 CE (1570 Seleucid).,"Eliyahu Ashtor, History of the Jews in Egypt and Syria under the Rule of the Mamlūks‎ (in Hebrew) (1970), vol. 3. ; S. D. Goitein, index cards.",AIU VII E 145,Judaeo-Arabic,,,1570,Seleucid,1259,,,,,1989-04-03 04:00:00+00:00,2022-05-26 13:48:52.243839+00:00,Dan Beaumont ; Marina Rustow,AIU,AIU,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/449/change/
451,https://geniza.princeton.edu/documents/451/,,,AIU VII.E.5,,,,Letter,"Nahray B. Nissim, trade, Marduk b. Musa","Letter from Mardūk b. Mūsā to Nahray b. Nissim. Mardūk writes with idiosyncratic spelling, something that doesn't appear to be true in all letters of his.","A. L. Udovitch and Marina Rustow, Unpublished translations. ; Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 3. ; S. D. Goitein, unpublished editions (Nahray‎ b. Nissim archive). ; S. D. Goitein, unpublished editions.",AIU VII E 5,Judaeo-Arabic,,,,,,,,,,1988-09-08 04:00:00+00:00,2023-12-07 03:25:16.988008+00:00,Catherine Beaumont ; Dan Sachs ; Marina Rustow ; Tali Shemma,AIU,AIU,Y,Y,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/451/change/
458,https://geniza.princeton.edu/documents/458/,,,BL OR 10578S.50,,,,Legal document,"Maimonides autograph, Responsum","Legal query addressed to Moses Maimonides with his autograph responsum, ca. 1170-1204.","S. D. Goitein, ""Unpublished autograph Responsa by Maimonides‎"" (in Hebrew), Tarbiz / תרביץ‎ 28, no. 2 (1959).","BM; BM Or 10578S, f. 50; BM Or 10578S, fol. 50",Judaeo-Arabic,,,,,,,,,,1989-11-10 05:00:00+00:00,2022-06-07 19:28:00.765495+00:00,Dan Sachs ; Nurit Tsafrir,BL,BL,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/458/change/
461,https://geniza.princeton.edu/documents/461/,,,BL OR 5549.3 + BL OR 5549.4,,,,Letter,"birth, David I Maimonides","Letter about the birth of David, the grandson of Maimonides, early 13th century (ca. 1226).","Eliyahu Ashtor, History of the Jews in Egypt and Syria under the Rule of the Mamlūks‎ (in Hebrew) (1970), vol. 3. ; Eliyahu Ashtor, History of the Jews in Egypt and Syria under the Rule of the Mamlūks‎ (in Hebrew) (1970), vol. 3. Misidentified by Ashtor as BL Or 5549, fol. 3. ; S. D. Goitein, index cards.","BM Or 5549, f. 3; BM; BM Or 5549, fol. 3 ; BM Or 5549, fol. 4; BM Or 5549, f. 4; BM",Judaeo-Arabic,,,,,,,,,,1989-02-26 05:00:00+00:00,2022-01-23 21:12:50.851377+00:00,Alan Elbaum ; Dan Beaumont ; Gillian Rosenberg,BL ; BL,BL ; BL,Y,N,,,Public,https://geniza.princeton.edu/admin/corpus/document/461/change/
467,https://geniza.princeton.edu/documents/467/,,,BL ????,,,,Letter,Natan b. Avraham,Fragment of a letter by Natan b. Avraham. 1354/1042.,"Jacob Mann, The Jews in Egypt and in Palestine under the Fâtịmid Caliphs (1970), vol. 2.",BM,Judaeo-Arabic,,,,,,,,,,1990-02-12 05:00:00+00:00,2021-06-18 16:47:51.943864+00:00,Micah Newberger ; Yael Steinberg,BL,BL,Y,N,Unknown shelfmark,,Public,https://geniza.princeton.edu/admin/corpus/document/467/change/
468,https://geniza.princeton.edu/documents/468/,,,BL OR 5542.14,,recto and verso,,Letter,"teacher, school","Letter from the teacher Abū Saʿīd to al-Shaykh al-Raṣuy, in which he asks in the most humble terms to be paid the fees due to him by the community for children sent to his school. People mentioned include three children of the wife of the Persian (אמראה אלעגמי) who is in the funduq, and Yosef al-Maghribī. (The same sender, there called Saʿīd, wrote T-S NS 324.35 to Avraham Maimonides. AA) NB: Goitein sometimes referred to this fragment as BL OR 5542.23. (See Med Soc II, App. B, doc. 98.)","S. D. Goitein, ""Side Lights on Jewish Education from the Cairo Geniza,"" in Gratz College Anniversary volume (1971). ; S. D. Goitein, index cards. ; S. D. Goitein, unpublished editions.","BM Or 5542, fol. 14; BM; BM Or 5542, f. 14",Judaeo-Arabic,,,,,,,,,,1989-12-18 05:00:00+00:00,2023-10-10 01:35:07.374345+00:00,Alan Elbaum ; Amir Ashur ; Miriam Krakowski ; Nurit Tsafrir ; Sarah Nisenson,BL,BL,Y,Y,"Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing

Goitein has as BM Or.5542.23","Many of the Goitein attachments are jumbled for BL OR 5542 since he had a different numbering system. Will take some time to sort out, adding this as a placeholder. -AE

No line numbering in translation",Public,https://geniza.princeton.edu/admin/corpus/document/468/change/
469,https://geniza.princeton.edu/documents/469/,,,BL OR 5542.34,,recto and verso,,Letter,"Nahray B. Nissim, travels, al-Tahirti, Nagid","Letter from Barhūn b. Yisḥaq al-Tāhirti to Nahray b. Nissim. Dating: 1045–96 CE. The sons of the late Nagid, who are owed favors, have asked Barhūn to help their cousin (ibn khāl) travel to Alexandria. Barhūn wonders if Nahray might take him along when he travels. Barhūn has already asked a certain Abū Isḥāq (apparently another Barhūn) to give the cousin 50 dirhams. Nahray should make sure Abū Isḥāq has done that, and perhaps he can also contribute some money of his own. (Information from Gil, Kingdom, Vol. 3, pp. 303-304.)","Moshe Gil, In the Kingdom of Ishmael‎ (in Hebrew) (1997), vol. 3. ; S. D. Goitein, unpublished editions.","BM Or 5542, f. 34; BM; BM Or 5542, fol. 34",Judaeo-Arabic,,,,,,,,,,1987-05-17 04:00:00+00:00,2021-05-26 20:23:20.515324+00:00,Alan Elbaum ; Jane Hathaway ; Sarah Nisenson,BL,BL,Y,N,Look for Goitein scan in this folder: https://drive.google.com/drive/folders/1ZAWSK3ILoRyll0FafU61V5zdccx0CgaP?usp=sharing,,Public,https://geniza.princeton.edu/admin/corpus/document/469/change/
